measure,mean_value,run_number,Scenario,DT Threshold
Arrival to Triage Nurse Assessment,0.0,6,alt_dt_0.70,0.7
Arrival to ED Assessment,8.583697064570714,6,alt_dt_0.70,0.7
Arrival to Referral,42.767662895697,6,alt_dt_0.70,0.7
Arrival to Medical Assessment,2573.9044621506155,6,alt_dt_0.70,0.7
Arrival to Consultant Assessment,4087.321808952828,6,alt_dt_0.70,0.7
SDEC Appropriate,0.00035932446999640676,6,alt_dt_0.70,0.7
SDEC Accepted,0.04416666666666667,6,alt_dt_0.70,0.7
Time in System,676.5577219278443,6,alt_dt_0.70,0.7
Breach 4hr,0.13079410707869205,6,alt_dt_0.70,0.7
Breach 12hr,0.10276679841897234,6,alt_dt_0.70,0.7
Mean ED Attendances per Day,347.875,6,alt_dt_0.70,0.7
Proportion Referred - Medicine,0.19978440531800215,6,alt_dt_0.70,0.7
SDEC Accepted (of Appropriate),0.10515873015873016,6,alt_dt_0.70,0.7
Direct Triage Eligible (share),0.1167804527488322,6,alt_dt_0.70,0.7
Direct Triage Used (share),0.1167804527488322,6,alt_dt_0.70,0.7
