measure,mean_value,run_number,Scenario,DT Threshold
Arrival to Triage Nurse Assessment,0.0,17,alt_dt_0.70,0.7
Arrival to ED Assessment,4.965960390244811,17,alt_dt_0.70,0.7
Arrival to Referral,36.782515301279396,17,alt_dt_0.70,0.7
Arrival to Medical Assessment,1063.8946836997538,17,alt_dt_0.70,0.7
Arrival to Consultant Assessment,3059.7026889049307,17,alt_dt_0.70,0.7
SDEC Appropriate,0.000361271676300578,17,alt_dt_0.70,0.7
SDEC Accepted,0.03759723422644771,17,alt_dt_0.70,0.7
Time in System,626.6807338487507,17,alt_dt_0.70,0.7
Breach 4hr,0.1369219653179191,17,alt_dt_0.70,0.7
Breach 12hr,0.11307803468208093,17,alt_dt_0.70,0.7
Mean ED Attendances per Day,346.0,17,alt_dt_0.70,0.7
Proportion Referred - Medicine,0.1856936416184971,17,alt_dt_0.70,0.7
SDEC Accepted (of Appropriate),0.0919661733615222,17,alt_dt_0.70,0.7
Direct Triage Eligible (share),0.11596820809248555,17,alt_dt_0.70,0.7
Direct Triage Used (share),0.11596820809248555,17,alt_dt_0.70,0.7
