measure,mean_value,run_number,Scenario,DT Threshold
Arrival to Triage Nurse Assessment,0.0,8,alt_dt_0.70,0.7
Arrival to ED Assessment,4.576020626710203,8,alt_dt_0.70,0.7
Arrival to Referral,37.16147790933348,8,alt_dt_0.70,0.7
Arrival to Medical Assessment,765.2550460986209,8,alt_dt_0.70,0.7
Arrival to Consultant Assessment,2682.249510765993,8,alt_dt_0.70,0.7
SDEC Appropriate,0.00036900369003690036,8,alt_dt_0.70,0.7
SDEC Accepted,0.039634146341463415,8,alt_dt_0.70,0.7
Time in System,569.4694181213697,8,alt_dt_0.70,0.7
Breach 4hr,0.14612546125461254,8,alt_dt_0.70,0.7
Breach 12hr,0.11697416974169741,8,alt_dt_0.70,0.7
Mean ED Attendances per Day,338.75,8,alt_dt_0.70,0.7
Proportion Referred - Medicine,0.1996309963099631,8,alt_dt_0.70,0.7
SDEC Accepted (of Appropriate),0.09609292502639916,8,alt_dt_0.70,0.7
Direct Triage Eligible (share),0.12324723247232472,8,alt_dt_0.70,0.7
Direct Triage Used (share),0.12324723247232472,8,alt_dt_0.70,0.7
