measure,mean_value,run_number,Scenario,DT Threshold
Arrival to Triage Nurse Assessment,0.0,4,alt_dt_0.70,0.7
Arrival to ED Assessment,6.099428321664486,4,alt_dt_0.70,0.7
Arrival to Referral,39.877831422346844,4,alt_dt_0.70,0.7
Arrival to Medical Assessment,1752.70109711038,4,alt_dt_0.70,0.7
Arrival to Consultant Assessment,3079.5266726424884,4,alt_dt_0.70,0.7
SDEC Appropriate,0.0003746721618583739,4,alt_dt_0.70,0.7
SDEC Accepted,0.03829029385574354,4,alt_dt_0.70,0.7
Time in System,596.4123947276543,4,alt_dt_0.70,0.7
Breach 4hr,0.1423754215061821,4,alt_dt_0.70,0.7
Breach 12hr,0.1165230423379543,4,alt_dt_0.70,0.7
Mean ED Attendances per Day,333.625,4,alt_dt_0.70,0.7
Proportion Referred - Medicine,0.20307231172723866,4,alt_dt_0.70,0.7
SDEC Accepted (of Appropriate),0.09750566893424037,4,alt_dt_0.70,0.7
Direct Triage Eligible (share),0.12514050206069688,4,alt_dt_0.70,0.7
Direct Triage Used (share),0.12514050206069688,4,alt_dt_0.70,0.7
