measure,mean_value,run_number,Scenario,DT Threshold
Arrival to Triage Nurse Assessment,0.0,15,alt_dt_0.70,0.7
Arrival to ED Assessment,8.74201426583573,15,alt_dt_0.70,0.7
Arrival to Referral,39.91506240712891,15,alt_dt_0.70,0.7
Arrival to Medical Assessment,1863.485912605835,15,alt_dt_0.70,0.7
Arrival to Consultant Assessment,2728.358122728488,15,alt_dt_0.70,0.7
SDEC Appropriate,0.0003667033370003667,15,alt_dt_0.70,0.7
SDEC Accepted,0.0378657487091222,15,alt_dt_0.70,0.7
Time in System,548.6653514112769,15,alt_dt_0.70,0.7
Breach 4hr,0.15291529152915292,15,alt_dt_0.70,0.7
Breach 12hr,0.12944627796112945,15,alt_dt_0.70,0.7
Mean ED Attendances per Day,340.875,15,alt_dt_0.70,0.7
Proportion Referred - Medicine,0.19471947194719472,15,alt_dt_0.70,0.7
SDEC Accepted (of Appropriate),0.09523809523809523,15,alt_dt_0.70,0.7
Direct Triage Eligible (share),0.12027869453612028,15,alt_dt_0.70,0.7
Direct Triage Used (share),0.12027869453612028,15,alt_dt_0.70,0.7
